"group";"type";"answer";"description";"hints";"params"
"feature_points";"select";"中府";"{name}？";;"{"name":"肺經募穴"}"
"feature_points";"select";"尺澤";"{name}？";;"{"name":"肺經合穴"}"
"feature_points";"select";"孔最";"{name}？";;"{"name":"肺經郄穴"}"
"feature_points";"select";"列缺";"{name}？";;"{"name":"肺經絡穴"}"
"feature_points";"select";"經渠";"{name}？";;"{"name":"肺經經穴"}"
"feature_points";"select";"太淵";"{name}？";;"{"name":"肺經俞穴"}"
"feature_points";"select";"魚際";"{name}？";;"{"name":"肺經滎穴"}"
"feature_points";"select";"少商";"{name}？";;"{"name":"肺經井穴"}"
"feature_points";"select";"商陽";"{name}？";;"{"name":"大腸經井穴"}"
"feature_points";"select";"二間";"{name}？";;"{"name":"大腸經滎穴"}"
"feature_points";"select";"三間";"{name}？";;"{"name":"大腸經俞穴"}"
"feature_points";"select";"合谷";"{name}？";;"{"name":"大腸經原穴"}"
"feature_points";"select";"陽谿";"{name}？";;"{"name":"大腸經經穴"}"
"feature_points";"select";"偏歷";"{name}？";;"{"name":"大腸經絡穴"}"
"feature_points";"select";"溫溜";"{name}？";;"{"name":"大腸經郄穴"}"
"feature_points";"select";"曲池";"{name}？";;"{"name":"大腸經合穴"}"
"feature_points";"select";"天樞";"{name}？";;"{"name":"大腸經募穴"}"
"feature_points";"select";"上巨虛";"{name}？";;"{"name":"大腸經腑合穴"}"
"feature_points";"select";"梁丘";"{name}？";;"{"name":"胃經郄穴"}"
"feature_points";"select";"足三里";"{name}？";;"{"name":"胃經合穴"}"
"feature_points";"select";"足三里";"{name}？";;"{"name":"胃經腑合穴"}"
"feature_points";"select";"豐隆";"{name}？";;"{"name":"胃經絡穴"}"
"feature_points";"select";"解谿";"{name}？";;"{"name":"胃經經穴"}"
"feature_points";"select";"衝陽";"{name}？";;"{"name":"胃經原穴"}"
"feature_points";"select";"陷谷";"{name}？";;"{"name":"胃經俞穴"}"
"feature_points";"select";"內庭";"{name}？";;"{"name":"胃經滎穴"}"
"feature_points";"select";"厲兌";"{name}？";;"{"name":"胃經井穴"}"
"feature_points";"select";"中脘";"{name}？";;"{"name":"胃經募穴"}"
"feature_points";"select";"隱白";"{name}？";;"{"name":"脾經井穴"}"
"feature_points";"select";"大都";"{name}？";;"{"name":"脾經滎穴"}"
"feature_points";"select";"太白";"{name}？";;"{"name":"脾經俞穴"}"
"feature_points";"select";"公孫";"{name}？";;"{"name":"脾經絡穴"}"
"feature_points";"select";"商丘";"{name}？";;"{"name":"脾經經穴"}"
"feature_points";"select";"地機";"{name}？";;"{"name":"脾經郄穴"}"
"feature_points";"select";"陰陵泉";"{name}？";;"{"name":"脾經合穴"}"
"feature_points";"select";"大包";"{name}？";;"{"name":"脾之大絡"}"
"feature_points";"select";"少海";"{name}？";;"{"name":"心經合穴"}"
"feature_points";"select";"靈道";"{name}？";;"{"name":"心經經穴"}"
"feature_points";"select";"通里";"{name}？";;"{"name":"心經絡穴"}"
"feature_points";"select";"陰郄";"{name}？";;"{"name":"心經郄穴"}"
"feature_points";"select";"神門";"{name}？";;"{"name":"心經俞穴"}"
"feature_points";"select";"少府";"{name}？";;"{"name":"心經滎穴"}"
"feature_points";"select";"少衝";"{name}？";;"{"name":"心經井穴"}"
